F_AMOUNT             | 21 | 4 | American | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
SC_FC_AC             | 14 | 7 | Numeric | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
SC_FC_UC             | 14 | 7 | Numeric | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
F_OBSCOM             | 1 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
TP_RTFV0             | 1 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
G_BRK                | 1 | 0 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
AMD_STS              | 2 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
ACC_CUR              | 3 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_CURRENCY           | 3 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
USER_CUR             | 3 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_LEG                | 3 | 0 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
TRN_GTYPE            | 3 | 0 | Numeric | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_CCFRMCD1           | 8 | 0 | Date | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_CCFRMCD2           | 8 | 0 | Date | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_DTEEVENT           | 8 | 0 | Date | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_VALUE              | 8 | 0 | Date | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_TYPE               | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_TYPELAB0           | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_TYPELAB1           | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
F_TYPELAB2           | 10 | 0 | Char | CASH_FLOW.REP        | DYN_CASH_FLOW        | Murex | DYN_TRNRP_CS
